tconst,originalTitle,startYear,runtimeMinutes,period,origine,budget_category,genres
tt0022064,Lebbra bianca,1951,80,Classiques,européen,Très petit budget,Drama
tt0031084,Battement de coeur,1940,97,Classiques,français,Très petit budget,Comedy
tt0031084,Battement de coeur,1940,97,Classiques,français,Très petit budget,Comedy
tt0031084,Battement de coeur,1940,97,Classiques,français,Très petit budget,Drama
tt0031084,Battement de coeur,1940,97,Classiques,français,Très petit budget,Drama
tt0031356,Füszer és csemege,1940,85,Classiques,européen,Très petit budget,Drama
tt0031372,Giù il sipario,1940,74,Classiques,européen,Très petit budget,Comedy
tt0031551,Una lampada alla finestra,1940,84,Classiques,européen,Très petit budget,Drama
tt0031789,Pazza di gioia,1940,78,Classiques,européen,Très petit budget,Comedy
tt0032119,Weißer Flieder,1940,92,Classiques,européen,Très petit budget,Comedy
tt0032119,Weißer Flieder,1940,92,Classiques,européen,Très petit budget,Comedy
tt0032119,Weißer Flieder,1940,92,Classiques,européen,Très petit budget,Romance
tt0032119,Weißer Flieder,1940,92,Classiques,européen,Très petit budget,Romance
tt0032350,La comédie du bonheur,1940,108,Classiques,français,Très petit budget,Comedy
tt0032450,Falstaff in Wien,1940,92,Classiques,européen,Très petit budget,Romance
tt0032625,Igen vagy nem?,1940,73,Classiques,européen,Très petit budget,Comedy
tt0032653,Jud Süß,1940,98,Classiques,européen,Très petit budget,Drama
tt0032659,Karl för sin hatt,1940,106,Classiques,européen,Très petit budget,Comedy
tt0032702,Die letzte Runde,1940,86,Classiques,européen,Très petit budget,Drama
tt0032775,Mein Mann darf es nicht wissen,1940,85,Classiques,européen,Très petit budget,Comedy
tt0032905,Piccolo alpino,1940,96,Classiques,européen,Très petit budget,Drama
tt0033017,San Giovanni decollato,1940,89,Classiques,européen,Très petit budget,Comedy
tt0033042,Shestdesyat dney,1943,75,Classiques,européen,Très petit budget,Comedy
tt0033125,A szerelem nem szégyen,1940,87,Classiques,européen,Très petit budget,Comedy
tt0033125,A szerelem nem szégyen,1940,87,Classiques,européen,Très petit budget,Comedy
tt0033125,A szerelem nem szégyen,1940,87,Classiques,européen,Très petit budget,Romance
tt0033125,A szerelem nem szégyen,1940,87,Classiques,européen,Très petit budget,Romance
tt0033206,Der ungetreue Eckehart,1940,88,Classiques,européen,Très petit budget,Comedy
tt0033207,Unser Fräulein Doktor,1940,94,Classiques,européen,Très petit budget,Comedy
tt0033218,Vi Masthuggspojkar,1940,76,Classiques,européen,Très petit budget,Comedy
tt0033218,Vi Masthuggspojkar,1940,76,Classiques,européen,Très petit budget,Comedy
tt0033218,Vi Masthuggspojkar,1940,76,Classiques,européen,Très petit budget,Drama
tt0033218,Vi Masthuggspojkar,1940,76,Classiques,européen,Très petit budget,Drama
tt0033277,Yakov Sverdlov,1940,124,Classiques,européen,Très petit budget,Drama
tt0033335,L'amante segreta,1941,101,Classiques,européen,Très petit budget,Drama
